3_1:	1, -2, 3, -1, 2, -3
4_1: 	-1, 2, -3, 1, -4, 3, -2, 4
5_1: 	-1, 2, -3, 4, -5, 1, -2, 3, -4, 5
5_2: 	1, -2, 3, -1, 4, -5, 2, -3, 5, -4
6_1:	1, -2, 3, -4, 2, -1, 5, -6, 4, -3, 6, -5
6_2:	1, -2, 3, -4, 5, -6, 2, -1, 6, -3, 4, -5
6_3:	-1, 2, -3, 1, -4, 5, -2, 3, -6, 4, -5, 6
7_1:	1, -2, 3, -4, 5, -6, 7, -1, 2, -3, 4, -5, 6, -7
7_2:	-1, 2, -3, 4, -5, 6, -7, 1, -2, 7, -6, 5, -4, 3
7_3:	1, -2, 3, -4, 5, -6, 7, -1, 2, -3, 4, -7, 6, -5
7_4:	-1, 2, -3, 4, -5, 6, -7, 3, -2, 1, -4, 7, -6, 5
7_5:	-1, 2, -3, 1, -4, 5, -6, 7, -2, 3, -7, 4, -5, 6
7_6:	1, -2, 3, -4, 5, -6, 7, -3, 2, -7, 6, -1, 4, -5
7_7:	1, -2, 3, -4, 5, -6, 4, -7, 2, -1, 7, -3, 6, -5
8_1:	1, -2, 3, -4, 5, -3, 2, -1, 6, -7, 8, -5, 4, -8, 7, -6
8_2:	1, -2, 3, -4, 5, -6, 7, -8, 2, -1, 8, -3, 4, -5, 6, -7
8_3:	-1, 2, -3, 4, -5, 1, -6, 7, -8, 5, -4, 3, -2, 8, -7, 6
8_4:	-1, 2, -3, 4, -5, 6, -7, 8, -4, 1, -2, 3, -8, 7, -6, 5
8_5:	1, -2, 3, -4, 5, -1, 2, -3, 6, -7, 8, -5, 4, -6, 7, -8
8_6:	-1, 2, -3, 4, -5, 6, -7, 8, -2, 1, -8, 7, -4, 5, -6, 3
8_7:	-1, 2, -3, 4, -5, 6, -7, 1, -2, 5, -8, 3, -4, 8, -6, 7
8_8:	1, -2, 3, -4, 5, -1, 2, -5, 6, -7, 8, -3, 4, -8, 7, -6
8_9:	-1, 2, -3, 4, -5, 1, -6, 7, -8, 3, -4, 5, -2, 6, -7, 8
8_10:	-1, 2, -3, 4, -5, 6, -7, 8, -4, 5, -6, 1, -2, 7, -8, 3
8_11:	1, -2, 3, -4, 5, -6, 7, -8, 2, -1, 8, -3, 6, -5, 4, -7
8_12:	-1, 2, -3, 1, -4, 5, -6, 3, -2, 6, -7, 8, -5, 4, -8, 7
8_13:	1, -2, 3, -4, 5, -6, 7, -1, 2, -7, 8, -5, 4, -3, 6, -8
8_14:	-1, 2, -3, 4, -5, 6, -4, 7, -8, 1, -2, 8, -7, 3, -6, 5
8_15:	1, -2, 3, -4, 5, -1, 2, -5, 6, -7, 8, -6, 4, -3, 7, -8
8_16:	-1, 2, -3, 4, -5, 1, -2, 6, -4, 7, -8, 5, -6, 3, -7, 8
8_17:	-1, 2, -3, 4, -5, 1, -6, 3, -4, 7, -8, 5, -2, 6, -7, 8
8_18:	-1, 2, -3, 4, -5, 1, -6, 3, -7, 5, -8, 6, -2, 7, -4, 8
8_19:	-1, 2, -3, -4, 5, -6, 7, -8, 4, -5, 6, 1, -2, -7, 8, 3
8_20:	1, -2, -3, 4, 5, -1, 2, -5, -6, 7, -8, 6, -4, 3, -7, 8
8_21:	1, -2, -3, 4, 5, -1, 2, -5, 6, -7, 8, -6, -4, 3, 7, -8
